Benhabiles
Béranger
Camaret
Champion
Contet
Courteau
Debliker
Dechaume
Delaitre
Demongeot
Deniau
Dominguez
Estrabeau
Fontang
Gilbert
Gillou
Hagelauer
Lisnard
Loth
Mouratoglou
Planque
Potier
Roux
Sumyk
Tulasne
Winogradsky
